iter	Passed	Remaining
446	1161	1437
447	1164	1434
448	1166	1432
449	1169	1429
450	1171	1426
451	1173	1423
452	1176	1420
453	1178	1417
454	1181	1415
455	1183	1412
456	1186	1409
457	1188	1406
458	1191	1403
459	1194	1401
460	1196	1399
461	1199	1396
462	1201	1393
463	1204	1391
464	1206	1388
465	1209	1386
466	1213	1384
467	1217	1383
468	1225	1387
469	1228	1385
470	1232	1384
471	1235	1382
472	1239	1381
473	1243	1379
474	1246	1377
475	1248	1374
476	1251	1372
477	1253	1369
478	1256	1366
479	1259	1363
480	1261	1361
481	1263	1358
482	1266	1355
483	1268	1352
484	1271	1349
485	1273	1347
486	1276	1344
487	1278	1341
488	1281	1339
489	1283	1336
490	1286	1333
491	1288	1330
492	1291	1327
493	1293	1324
494	1295	1321
495	1298	1319
496	1300	1316
497	1303	1313
498	1305	1310
499	1308	1308
500	1310	1305
501	1313	1302
502	1315	1300
503	1318	1297
504	1320	1294
505	1323	1292
506	1326	1290
507	1329	1287
508	1332	1284
509	1334	1282
510	1337	1279
511	1340	1277
512	1342	1274
513	1345	1271
514	1347	1269
515	1350	1266
516	1352	1263
517	1355	1261
518	1358	1258
519	1360	1256
520	1363	1253
521	1366	1250
522	1368	1248
523	1371	1245
524	1373	1243
525	1376	1240
526	1379	1238
527	1382	1235
528	1385	1233
529	1387	1230
530	1390	1228
531	1393	1225
532	1395	1223
533	1398	1220
534	1400	1217
535	1403	1214
536	1406	1212
537	1408	1209
538	1410	1206
539	1413	1204
540	1415	1201
541	1418	1198
542	1420	1195
543	1423	1193
544	1426	1190
545	1429	1188
546	1431	1185
547	1434	1182
548	1436	1180
549	1439	1177
550	1441	1174
551	1443	1171
552	1446	1169
553	1448	1166
554	1451	1163
555	1453	1160
556	1456	1158
557	1458	1155
558	1460	1152
559	1463	1149
560	1465	1146
561	1468	1144
562	1470	1141
563	1473	1138
564	1475	1136
565	1478	1133
566	1480	1130
567	1482	1127
568	1485	1125
569	1487	1122
570	1490	1119
571	1493	1117
572	1495	1114
573	1498	1111
574	1500	1109
575	1502	1106
576	1505	1103
577	1507	1100
578	1510	1098
579	1512	1095
580	1515	1092
581	1517	1090
582	1520	1087
583	1522	1084
584	1525	1082
585	1528	1079
586	1530	1077
587	1533	1074
588	1535	1071
589	1538	1068
590	1540	1066
591	1543	1063
592	1546	1061
593	1548	1058
594	1550	1055
595	1553	1053
596	1556	1050
597	1558	1048
598	1561	1045
599	1564	1042
600	1566	1040
601	1569	1037
602	1571	1034
603	1574	1032
604	1576	1029
605	1579	1026
606	1581	1024
607	1584	1021
608	1587	1019
609	1589	1016
610	1592	1013
611	1594	1011
612	1597	1008
613	1599	1005
614	1602	1003
615	1604	1000
616	1607	997
617	1609	995
618	1612	992
619	1614	989
620	1617	987
621	1619	984
622	1622	981
623	1624	979
624	1627	976
625	1630	974
626	1633	971
627	1635	968
628	1638	966
629	1640	963
630	1643	960
631	1645	958
632	1648	955
633	1650	952
634	1653	950
635	1655	947
636	1657	944
637	1660	942
638	1662	939
639	1665	936
640	1667	934
641	1670	931
642	1672	928
643	1675	926
644	1677	923
645	1680	920
646	1682	918
647	1685	915
648	1687	912
649	1690	910
650	1692	907
651	1695	904
652	1697	902
653	1699	899
654	1702	896
655	1704	893
656	1707	891
657	1709	888
658	1712	885
659	1714	883
660	1716	880
661	1719	877
662	1721	875
663	1725	872
664	1728	870
665	1731	868
666	1733	865
667	1736	862
668	1738	860
669	1741	857
670	1743	854
671	1745	852
672	1748	849
673	1750	846
674	1753	844
675	1756	841
676	1758	838
677	1760	836
678	1763	833
679	1766	831
680	1769	828
681	1771	826
682	1774	823
683	1776	820
684	1779	818
685	1782	815
686	1784	813
687	1787	810
688	1789	807
689	1792	805
690	1794	802
691	1796	799
692	1799	797
693	1801	794
694	1804	791
695	1806	789
696	1809	786
697	1811	783
698	1814	781
699	1816	778
700	1819	775
701	1821	773
702	1824	770
703	1827	768
704	1829	765
705	1832	762
706	1834	760
707	1836	757
708	1839	754
709	1841	752
710	1844	749
711	1846	746
712	1849	744
713	1852	741
714	1854	739
715	1856	736
716	1859	733
717	1861	731
718	1864	728
719	1866	725
720	1869	723
721	1871	720
722	1873	717
